PublishedDate,IndicatorType,Indicator,Tags,Source,ArticleTitle,ArticleURL,EvidenceTypes
2026/09/14,IPv4,179[.]43[.]177[.]220,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,linked_ioc_page
2026/09/14,IPv4,178[.]92[.]162[.]38,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,"article_body, linked_ioc_page"
2026/09/14,IPv4,178[.]16[.]54[.]148,"Threat Intel, Research, IOC, Malware",SOCRadar Blog,VectraRAT: An Undocumented Full-Stack MaaS Built From Scratch (https://socradar.io/blog/vectrarat-undocumented-stack-maas/),https://socradar.io/blog/vectrarat-undocumented-stack-maas/,article_body
2026/09/14,IPv4,178[.]128[.]233[.]36,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,linked_ioc_page
2026/09/14,IPv4,176[.]98[.]187[.]47,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,IPv4,174[.]138[.]186[.]157,"Threat Intel, Research, IOC, Malware",SOCRadar Blog,VectraRAT: An Undocumented Full-Stack MaaS Built From Scratch (https://socradar.io/blog/vectrarat-undocumented-stack-maas/),https://socradar.io/blog/vectrarat-undocumented-stack-maas/,linked_ioc_page
2026/09/14,IPv4,172[.]67[.]208[.]181,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,IPv4,172[.]67[.]200[.]134,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
2026/09/14,IPv4,172[.]67[.]156[.]47,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,linked_ioc_page
2026/09/14,IPv4,172[.]239[.]57[.]117,"Malware, Threat Intel",Elastic,The extension you never installed: KREMLIN forges Chrome's own integrity checks to steal banking sessions (https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware),https://www.elastic.co/security-labs/threat-command/malicious-browser-extension-kremlin-banking-malware,article_body
